file,pmcid,image_type:radiology~anatomical_region:axial_region,image_type:electrography,image_type:radiology~anatomical_region:axial_region.abdomen,image_type,image_type:pathology,image_type:radiology~anatomical_region,image_type:medical_photograph,image_type:ophthalmic_imaging,image_type:radiology.ultrasound,image_type:endoscopy,image_type:radiology~anatomical_view,image_type:radiology~anatomical_region:upper_limb,image_type:radiology~attribute_angiography,image_type:radiology~contrast_status,image_type:radiology~main,image_type:radiology~anatomical_region:lower_limb,image_type:radiology~anatomical_region:axial_region.thorax,modified_label
PMC10000323_jbsr-107-1-3012-g3_undivided_1_1.webp,PMC10000323,,,,pathology,h&e,,,,,,,,,,,,,False
PMC10000728_fmed-09-985235-g001_A_1_3.webp,PMC10000728,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10000728_fmed-09-985235-g001_B_2_3.webp,PMC10000728,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10000728_fmed-09-985235-g001_C_3_3.webp,PMC10000728,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10000728_fmed-09-985235-g002_A_1_3.webp,PMC10000728,,,,medical_photograph,,,other_medical_photograph,,,,,,,,,,,False
PMC10000728_fmed-09-985235-g002_B_2_3.webp,PMC10000728,,,,pathology,fish,,,,,,,,,,,,,False
PMC10000728_fmed-09-985235-g002_C_3_3.webp,PMC10000728,,,,pathology,h&e,,,,,,,,,,,,,False
PMC10003280_JCD-26-113-g002_a_1_3.webp,PMC10003280,,,,pathology,giemsa,,,,,,,,,,,,,False
PMC10003280_JCD-26-113-g002_b_2_3.webp,PMC10003280,thorax,,,radiology,,axial_region,,,,,sagittal,,angiography,contrast,ct,,cardiac_image,False
PMC10003280_JCD-26-113-g002_c_3_3.webp,PMC10003280,thorax,,,radiology,,axial_region,,,,,transesophageal,,angiography,contrast,mri,,cardiac_image,False
PMC10003339_fendo-14-1113234-g002_undivided_1_1.webp,PMC10003339,,,,pathology,giemsa,,,,,,,,,,,,,False
